,Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,Unnamed: 28
18,"Ar de Arte Fried Mussels in Escabeche 7/10, Fernando Rei Edition",28,"Olive Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ar de Arte,Yes,No,Escabeche,Yes,Yes,7/10,110,3.88,No,No,No,Yes,Not Specified,No,No,No,No,,1,400,15,
19,"Ar de Arte Razor Clams in Brine, Fernando Rei Edition",33.5,Salt Brine,Razor Clams,Ensis siliqua,Spain,Ar de Arte,Yes,No,,Yes,Yes,8,110,3.88,No,No,No,No,No,No,No,No,No,,1,370,18,
20,"Ar de Arte Razor Clams in Olive Oil with Garlic and Chilli, Fernando Rei Edition, about 8 pieces",24.5,Olive Oil,Razor Clams,Ensis siliqua,Spain,Ar de Arte,Yes,No,"Chili, garlic",,,8,110,3.9,No,No,No,Yes,Yes,No,No,No,No,,1,220,10,
21,Ar de Arte Scallops with Garlic and Chili Pepper (con Allo e Guindilla),28,Olive Oil,Scallops,Chlamys sp,Spain,Ar de Arte,Yes,No,"Chili, garlic",,,Unstated,110,3.9,No,No,No,Yes,Yes,No,No,No,No,,1,240,10,
22,"Ar de Arte Small Sardines in Olive Oil 14/16, Fernando Rei Edition",23,Olive Oil,Sardines,Sardina pilchardus,Spain,Ar de Arte,Yes,No,none,No,no,14/16,110,3.88,No,No,No,No,No,No,No,No,No,,1,390,18,
23,"Ar de Arte Small Scallops in Vieira Sauce 12/16, Fernando Rei Edition",24.5,Olive Oil,Scallops,,Spain,Ar de Arte,Yes,No,Tomato,yes,yes,12/16,110,3.88,No,No,No,No,No,Yes,No,No,No,,1,520,25,
24,"Ar de Arte Wild Codfish in EVOO with Garlic and Black Pepper, Fernando Rei Edition",18.5,Extra Virgin Olive Oil,Cod,Gadus morhua,Spain,Ar de Arte,Yes,No,"Garlic, black pepper",,,,110,3.88,No,No,No,Yes,No,No,No,No,No,,1,270,10,
25,Arroyabe Anchovy Fillets in Olive Oil,8,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Arroyabe,Yes,No,,Yes,Yes,Unstated,50,1.8,No,No,No,No,No,No,No,No,No,,2,950,42,
26,Arroyabe Bonito del Norte (Albacore) in Olive Oil,9.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,,,,,111,4.0,No,No,No,No,No,No,No,No,No,,1,290,13,
27,Arroyabe Ventresca of Bonito del Norte (Albacore) in Olive Oil,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Arroyabe,Yes,No,,,,,111,3.9,No,No,No,No,No,No,No,No,No,,2,218,9,
28,Artesanos Alalunga Bonito del Norte (Albacore) Loins in Tomato Sauce,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,Yes,Tomato,,,,138,4.87,No,No,No,Yes,Yes,Yes,No,No,No,,1,280,,
29,Artesanos Alalunga Bonito del Norte (Albacore) Loins with Onion and Green Peppers,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,No,"Pepper, Onion",,,,138,4.87,No,No,No,No,No,No,No,No,No,,1,280,,
30,Artesanos Alalunga Cocochas de Merluza Europea (European Hake Cheeks) in Olive Oil 6/8,37,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,,Yes,Yes,Unstated,134,4.73,No,No,No,No,No,No,No,No,No,,1,200,?,
31,Artesanos Alalunga Cocochas de Merluza Europea (European Hake Cheeks) in Salsa Verde 6/8,42,"Extra Virgin Olive Oil, Olive Oil",Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,"Parsley, Hake broth, onion",,,6/8,134,4.73,No,No,No,Yes,No,No,No,No,No,,1,280,?,
32,Artesanos Alalunga Cuttlefish In Its Own Ink,23,Extra Virgin Olive Oil,Cuttlefish,Sepia officinalis,Spain,Artesanos Alalunga,Yes,No,Ink,,,Unstated,138,4.87,No,No,No,Yes,No,No,No,No,No,,1,160,?,
33,Artesanos Alalunga European Hake in Salsa Verde,24,Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos,Yes,No,Salsa Verde,,,,138,4.87,No,No,No,Yes,No,No,No,No,No,,1,280,,
34,Artesanos Alalunga European Hake Loins in Olive Oil (Lomos de Merluza Europea),24,Extra Virgin Olive Oil,Hake,Merluccius merluccius,Spain,Artesanos Alalunga,Yes,No,,Yes,Yes,Unstated,138,4.87,No,No,No,No,No,No,No,No,No,,1,200,?,
35,Artesanos Alalunga Mackerel in Olive Oil,20,Olive Oil,Mackerel,Scomber scombrus,Spain,Artesanos,Yes,No,,,,,138,4.87,No,No,No,No,No,No,No,No,No,,1,200,,
36,Artesanos Alalunga Sea Bass with Garlic and Cayenne Pepper,35,Extra Virgin Olive Oil,Sea Bass,Dicentrarchus labrax,Spain,Artesanos Alalunga,Yes,No,"Garlic, cayenne",,,,138,4.87,No,No,No,Yes,Yes,No,No,No,No,,2,190,,
37,Artesanos Alalunga Sea Bass with Olive Oil,32,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,No,,,,,138,4.87,No,No,No,No,No,No,No,No,No,,1,190,,
38,Artesanos Alalunga Sea Bass with Pesto,32,Olive Oil,Seabass,Dicentrarchus labrax,Spain,Artesanos,Yes,Yes,Basil Pesto,,,,138,4.87,No,No,No,Yes,No,No,No,No,No,,1,950,,
39,Artesanos Alalunga Tarantelo de Bonito del Norte in Extra Virgin Olive Oil,27,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos Alalunga,Yes,No,,,,,138,4.87,No,No,No,No,No,No,No,No,No,,1,500,?,
40,Artesanos Alalunga Ventresca de Bonito del Norte in Olive Oil,44,"Olive Oil, Extra Virgin Olive Oil","Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos Alalunga,Yes,No,,,,,134,4.5,No,No,No,No,No,No,No,No,No,,2,200,,
41,AS do MAR Ventresca of Yellowfin,25,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,,,,,125,4.4,No,No,No,No,No,No,No,No,No,,1,310,14,
42,AS do MAR Yellowfin Loin,12.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,,,,,200,7.05,No,No,No,No,No,No,No,No,No,,1,670,29,
43,Ati Manel Garfish in Olive Oil,8,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,,No,No,,120,4.2,No,No,No,No,No,No,No,No,No,,1,480,21,
44,Ati Manel Garfish in Spiced Olive Oil,8,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,,No,No,,120,4.2,No,No,No,No,Yes,No,No,No,No,,1,480,21,
45,Ati Manel Horse Mackerel in Olive Oil with Basil,9,"Olive Oil, Extra Virgin Olive Oil",Horse Mackerel,Trachurus trachurus,Portugal,Ati Manel,Yes,No,Basil Pesto,No,No,Unstated,90,3.1,No,No,No,No,No,Yes,No,No,No,,1,320,14,
46,Ati Manel Mackerel Fillets in Olive Oil,9,Olive Oil,Mackerel,Scomber japonicus,Portugal,Ati Manel,Yes,No,,Yes,Yes,,125,4.4,No,No,No,No,No,No,No,No,No,,1,440,19,
47,Ati Manel Mussels in Escabeche,10,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,,,,110,3.9,No,No,No,Yes,No,No,No,No,No,,1,440,19,
48,Ati Manel Octopus in Garlic Sauce,14.5,Sunflower Oil,Octopus,Elodone cirrhiosa,Spain,Ati Manel,Yes,No,Garlic,,,,110,3.9,No,No,No,Yes,No,No,No,No,No,,1,520,23,
49,Ati Manel Razor Clams in Brine,18,Brine,Razor Clams,Ensis siliqua,Spain,Ati Manel,Yes,No,,,,,110,3.9,No,No,No,No,No,No,No,No,No,,1,440,19,
50,Ati Manel Sardines in Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,,No,No,,125,4.4,No,No,No,No,No,No,No,No,No,,1,480,21,
51,Ati Manel Sardines in Olive Oil with Lemon,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,Lemon,No,No,,125,4.4,No,No,Yes,No,No,No,No,No,No,,1,480,21,
52,Ati Manel Sardines in Spicy Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,Spicy oil,No,No,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,No,,1,560,24,
53,Ati Manel Sardines in Tomato Sauce,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,Yes,Tomato,No,No,,120,4.2,No,No,No,No,No,Yes,No,No,No,,1,480,21,
54,Ati Manel Scallops in “Caldeirada” Sauce,12,Olive Oil,Scallops,Chlamys sp,Spain,Ati Manel,Yes,Yes,Caldeirada,,,,120,4.2,No,No,No,No,No,Yes,No,No,No,,1,440,19,
55,Ati Manel Spiced Mussels in Escabeche,10,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,,,,110,3.9,No,No,No,Yes,Yes,No,No,No,No,,1,440,19,
56,Ati Manel Spiced Tuna Fillets in Olive Oil,13.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,Spicy oil,,,,120,4.2,No,No,No,No,Yes,No,No,No,No,,1,320,14,
57,Ati Manel Squid Pieces in Ink,8,Sunflower Oil,Squid,Loligo vulgaris,Spain,Ati Manel,Yes,No,"Tomato, onion, squid ink",,,,110,3.9,No,No,No,No,Yes,Yes,No,No,No,,1,480,121,
58,Ati Manel Tuna Fillets in Olive Oil,13.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,,,,,120,4.2,No,No,No,No,No,No,No,No,No,,1,320,14,* per 100g
59,Belveder Cod Liver,4.5,,Cod,?,?,Belveder,Yes,No,,,,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,,2,278,11,
60,"Belveder Riga Smoked Sprats in Oil, 160g",3.5,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,,No,No,Unstated,160,5.6,Yes,No,No,No,No,No,No,No,No,,3,220,10,
61,"Belveder Riga Smoked Sprats in Oil, 240g",4.5,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,,No,No,Unstated,240,8.5,Yes,No,No,No,No,No,No,No,No,,3,220,10,
62,Berthe Sardine Fillets in Extra Virgin Olive Oil,6,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Portugal,Berthe,Yes,No,,Yes,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,,1,140,6,
63,Berthe Sardines in Olive Oil,7.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Berthe,Yes,No,,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,1,190,8,
64,Berthe Sardines in Spiced Olive Oil with Pickles,8.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Berthe,Yes,No,Pickle,No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,,1,190,8,
65,Berthe Sardines with Tomato and Basil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Berthe,Yes,Yes,Tomato,No,No,Unstated,125,4.4,No,No,No,No,No,Yes,No,No,No,,1,380,17,
66,Berthe Small Mackerels in Olive Oil,6,Olive Oil,Mackerel,?,Portugal,Berthe,Yes,No,,No,No,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,1,380,17,
67,Berthe Small Sardines in Olive Oil,9,Olive Oil,Sardines,Sardina pilchardus,Portugal,Berthe,Yes,No,,No,No,Unstated,90,3.1,No,No,No,No,No,No,No,No,No,,1,135,6,
68,Bogar Cockles in Brine 45/55,18,Water,Cockles,?,Spain,Bogar,Yes,No,,,,45/55,111,4.0,No,No,No,No,No,No,No,No,No,,2,370,16,
69,Bogar Mussels in Escabeche 12/16,9,Sunflower Oil,Mussels,?,Spain,Bogar,Yes,No,Escabeche,,,12/16,111,4.0,No,No,No,No,No,No,No,No,No,,2,510,22,
70,Bogar Sardines in Spicy Oil 3/5,8,Sunflower Oil,Sardines,?,Spain,Bogar,yes,No,Spiced/Spicy,No,No,3/5,115,4.0,No,No,No,No,Yes,No,NO,No,No,,2,240,11,
71,Bogar Squid Pieces in Ink,6.5,Sunflower Oil,Squid,?,Spain,Bogar,Yes,No,Ink,,,Unstated,111,4.0,No,No,No,No,No,Yes,No,No,No,,2,260,11,
72,Bokksu Shirasu Anchovies (Whitebait) with Black Pepper & Basil Infused Oil,14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,"Basil, Pepper, Cheese",,,Unstated,80,2.82,No,No,No,Yes,No,No,Yes,No,No,,5,105,5,
73,Bokksu Shirasu Anchovies (Whitebait) with Mentaiko,14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,Cod Roe,,,Unstated,80,2.82,No,No,No,No,No,No,No,No,No,,5,160,7,
74,Bokksu Shirasu Anchovies (Whitebait) with Yuzu Kosho,14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,Yuku Kosho,,,Unstated,80,2.82,No,No,Yes,No,No,No,No,No,No,,5,120,5,
75,Bon Appetit Sardines in Hot Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,,1,170,7,
76,Bon Appetit Sardines in Hot Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,,1,300,13,
77,Bon Appetit Sardines in Hot Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy Tomato,No,No,Unstated,120,4.23,No,No,No,No,Yes,Yes,No,No,No,,1,160,7,
78,Bon Appetit Sardines in Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,190,8,
79,Bon Appetit Sardines in Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,170,8,
80,Bon Appetit Sardines in Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Tomato,No,No,Unstated,120,4.23,No,No,No,No,No,Yes,No,No,No,,1,280,12,
81,"Bourgogne Escargots Precooked Snails from Burgundy, Very Large (24 count)",20,Water,Snails,Helix pomatia,France,Bourgogne,Yes,No,,,,24,200,7.2,No,No,No,No,No,No,No,No,No,,6,190,8,
82,Briosa Gourmet Boneless Skinless Sardines in Olive Oil,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,,Yes,Yes,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,340,15,
83,Briosa Gourmet Mackerel Fillets in Olive Oil,8,Olive Oil,Mackerel,?,Portugal,Briosa,Yes,No,,Yes,Yes,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,340,15,
84,Briosa Gourmet Sardines in Olive Oil,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,,1,340,15,
85,Briosa Gourmet Spiced Mackerel Fillets in Olive Oil,8.75,Olive Oil,Mackerel,?,Portugal,Briosa,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,,1,340,14,
86,Briosa Gourmet Spiced Sardines in Olive Oil,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,Yes,Yes,No,No,No,No,,1,340,15,
87,Briosa Gourmet Tuna Fillets in Olive Oil with Chickpeas,8,Olive Oil,"Tuna, Skipjack",?,Portugal,Briosa,Yes,No,"Chickpeas, onion",,,,120,4.23,No,No,No,No,No,No,No,No,No,,1,620,26,
88,Callol Serrats L’Escala Anchovy Fillets,13,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,,2,880,37,
89,"Callol Serrats L’Escala Anchovy Fillets, 100g glass jar",19,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,,Yes,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,,4,880,37,
90,"Chatka King Crab 100% Legs, 121g",77,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,,1,,,
91,"Chatka King Crab 100% Legs, 185g",105,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,,2,,,
92,"Chatka King Crab 15% Legs, 121g",43,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,,1,836,,
93,"Chatka King Crab 15% Legs, 185g",50,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,,2,,,
94,"Chatka King Crab 60% Legs, 121g",53,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,,1,,,
95,"Chatka King Crab 60% Legs, 185g",68,Water,King Crab,?,Spain,Chatka,Yes,No,,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,,2,,,
96,Codesa Serie Limitada (Limited Series) Anchovy Fillet in Olive Oil,20,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,,Yes,Yes,7/10,55,1.94,No,No,No,No,No,No,No,No,No,,3,733,31,
97,Codesa Serie Oro (Gold Series) Anchovy Fillet in Olive Oil,15.5,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,,Yes,Yes,8/10,55,1.94,No,No,No,No,No,No,No,No,No,,3,733,31,
98,Codesa Serie Oro (Gold Series) Anchovy Fillet in Sunflower Oil,15,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,,Yes,Yes,Unstated,48,,No,No,No,No,No,No,No,No,No,,2,552,24,
99,"Codesa Serie Rosa Anchovy Fillet in Olive Oil, 7/10",20,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,,Yes,Yes,7/10,55,1.94,No,No,No,No,No,No,No,No,No,,2,552,24,
100,"Codesa Serie Rosa Edicion Limitada Anchovy Fillet in Olive Oil, 10/15",33,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,,Yes,Yes,10/15,115,4.0,No,No,No,No,No,No,No,No,No,,4,552,24,
101,Cole's Select Snow Crab,16,Water,Crab,Paralomis granulosa,Chile,Cole's,Yes,No,,,,,150,5.3,No,No,No,No,No,No,No,No,No,,2,250,11,
102,Cole's Smoked Mussels in Olive Oil,8.5,Olive Oil,Mussels,Mytilus edulis,Chile,Cole's,Yes,No,,,,Unstated,114,4.0,Yes,No,No,No,No,No,No,No,No,,1,207,9,
103,Cole's Smoked Rainbow Trout in Olive Oil,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,,Yes,No,Unstated,91,3.2,Yes,No,No,No,No,No,No,No,No,,1,300,13,
104,Cole's Smoked Salmon in Olive Oil,9.5,Olive Oil,Salmon,Salmo salar,Chile,Cole's,Yes,No,,Yes,Yes,Unstated,91,3.2,Yes,No,No,No,No,No,No,No,No,,1,300,12.5,
105,Cole's Smoked Trout with Lemon & Cracked Pepper,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,"Lemon, Pepper",Yes,No,Unstated,91,3.2,Yes,No,Yes,No,No,No,No,No,No,,1,374,16,
106,"Cole's Stuffed Calamari with Rice, Tomato, Onion, and Spices",9,"Sunflower Oil, Soybean Oil",Squid,Loligo spp,Portugal,Cole's,Yes,No,Tomato,,,Unstated,115,4.1,No,No,No,No,No,Yes,No,No,No,,1,820,36,
107,Cole's Tuna Fillets in Olive Oil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,,,,,190,6.7,No,No,No,No,No,No,No,No,No,,2,280,12,
108,Cole's Tuna Fillets in Olive Oil & Fennel,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Fennel Seeds,,,,190,6.7,No,No,No,No,No,No,No,No,No,,2,170,7,
109,Cole's Tuna Fillets in Olive Oil with Oregano,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Oregano,,,,190,6.7,No,No,No,No,No,No,No,No,No,,2,280,12,
110,Cole's Tuna Fillets in Olive Oil with Sweet Red Pepper,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,Yes,Red Bell Pepper,,,,190,6.7,No,No,No,No,No,No,No,No,No,,2,250,11,
111,Cole's Wild Atlantic Chub Mackerel in Olive Oil,6,Olive Oil,Mackerel,Scomber colias,Cape Verde,Cole's,Yes,No,,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,,1,340,15,
112,Conservas de Cambados Baby Eels in Olive Oil,49,Olive Oil,Eel,Anguilla bicolor bicolor and  Anguilla Mossambica,Spain,Conservas de Cambados,Yes,No,,,,Unstated,111,4.0,No,No,No,No,Yes,No,No,No,No,,1,620,27,
113,Conservas de Cambados Barnacles (Percebes) in Brine,33.5,Water,Barnacles,Pollicipes pollicipes,Spain,Conservas de Cambados,Yes,No,,,,Unstated,111,4.0,No,No,No,No,No,No,No,No,No,,1,1240,54,
114,Conservas de Cambados Cockles in Brine 20/25,54,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,,,,20/25,111,4.0,No,No,No,No,No,No,No,No,No,,2,370,19,
115,Conservas de Cambados Cockles in Brine 30/40,31.5,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,,,,30/40,111,4.0,No,No,No,No,No,No,No,No,No,,1,750,33,
